to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4583,"UCTA,MS",College Algebra & Trig W Apps,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4583,MS,Calculus,
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4583,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4583,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4583,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4583,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4583,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4583,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4583,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4583,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4583,,Mathematics and Logic,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 174,4583,,"Mathematics, Survey of",5
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4583,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4583,"MS,CR",College Algebra W Apps,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4583,MS,Trigonometry W Apps,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4583,"UCTA,MS",College Algebra & Trig W Apps,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4583,MS,Calculus,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,4583,"NS, LS, UCTA",General Biology,22
9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,4583,"UCTA,LS,NS",General Chemistry,22
9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,4583,"UCTA,LS,NS",General Physics (Alg-Based),22
9999,L,4.0,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4583,"LS,NS",Gen Anatomy & Physiology,213
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 179,4583,"NS, LS",Adv Anatomy & Physiology,213
9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 186,4583,NS,Intro to Biochemistry,
9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 189,4583,NS,Basic Anatomy,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 197,4583,NS,Microbiology,
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 100,4583,,Pre-Employment Seminar,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 111,4583,,American Government,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4583,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4583,,Marriage & Family,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 130,4583,,Stress Management,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 148,4583,,Developmental Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 154,4583,,"Psychology, Abnormal",5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 158,4583,,Adolescent Psychology,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4583,,Abnormal Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 161,4583,,Critical and Creative Thinking,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 165,4583,,Ethics in America,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4583,"UCTA, EL",Intro to Ethics: Theory & App,22
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 171,4583,,Cultural Impacts,5
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4583,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4583,SS,Social Problems,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 175,4583,,Dealing With Diversity,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 180,4583,,Personal Effectiveness: the Se,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4583,SS,Developmental Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 190,4583,,Cultural Adaptability,5
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4583,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4583,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4583,SS,Contemporary Amer Society,
9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,4583,"UCTA,SS",Intro to Psychology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,4583,SS,Psychology of Human Relations,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,4583,"NS, LS, UCTA",General Biology,22
9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,4583,"UCTA,LS,NS",General Chemistry,22
9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,4583,"UCTA,LS,NS",General Physics (Alg-Based),22
9999,L,4.0,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4583,"LS,NS",Gen Anatomy & Physiology,213
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 179,4583,"NS, LS",Adv Anatomy & Physiology,213
9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 186,4583,NS,Intro to Biochemistry,
9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 189,4583,NS,Basic Anatomy,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 197,4583,NS,Microbiology,
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 100,4583,,"Communications, Technical-Oral",5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 101,4583,,Comm Unit 1-Verbal Application,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 102,4583,,Comm Unit 2-Verbal Dynamics,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 103,4583,,Introduction to College Writin,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 120,4583,,"Communications, Technical-Writ",5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 121,4583,,College Writing 1,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 122,4583,,College Writing 2,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 123,4583,,Comm Unit 3-Job Seeking Skills,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 130,4583,,Communication-Assertiveness,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 132,4583,,Creative Writing,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 133,4583,,Adv Writing Skills,5
9999,L,3.0,ENG 101,College Write & Critical Read,COMMSK (801) 136,4583,UCTA,English Composition 1,22
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 139,4583,,"Internet, Exploring the",5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 145,4583,,Organizational Communications,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 149,4583,,Wids Training,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 151,4583,,Communication Skills 1 Verbal,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 152,4583,,Communication Skills 2 Written,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 159,4583,,Training/Dev in Office Systems,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 161,4583,,Police Report Writing,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 162,4583,,Corrections Report Writing,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 164,4583,,Writing-Manuals & Brochures,5
9999,L,3.0,ENG EL,English Elective,COMMSK (801) 195,4583,"EL, UCTA",Written Communication,22
9999,L,3.0,CTA 101,Interpersonal Comm,COMMSK (801) 196,4583,AP,Oral/Interpersonal Comm,
9999,L,3.0,ENG 206,Technical Writing,COMMSK (801) 197,4583,AP,Technical Reporting,
9999,L,3.0,CTA 103,Intro Public Speaking,COMMSK (801) 198,4583,"UCTA,AP",Speech,22
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4583,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4583,,College Mathematics,
